role_head,alias,note
warden,gondnok,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
watchmaker,órás,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
weaver,szövő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
weaver,takács,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
webmaster,webmester,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
welder,hegesztő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
winder,felhúzója,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
woodcarver,fafaragó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
woodcarver,faszobrász,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
woodturner,faesztergályos,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
writer,író,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
zookeeper,állatgondozó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
zookeeper,állatkert gondozója,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
